id,label
DB0-m3_o8_o27_f0_pcu.sym.97_repeat,55.58977
DB0-m3_o4_o470_f0_fsc.sym.26_repeat,10.59844
DB0-m3_o14_o25_f0_pcu.sym.31_repeat,25.46147
DB6-cuf_10013_repeat,35.79122
DB0-m29_o88_o143_f0_pts.sym.46_repeat,33.03598
DB0-m2_o8_o8_f0_pcu.sym.52_repeat,56.28523
DB0-m3_o1_o5_f0_nbo.sym.65_repeat,19.82928
DB0-m3_o13_o23_f0_pcu.sym.80_repeat,30.33661
DB0-m3_o12_o14_f0_pcu.sym.109_repeat,14.31659
DB5-hypotheticalMOF_17327_0_0_1_7_7_5_repeat,13.01472
DB0-m3_o3_o14_f0_pcu.sym.20_repeat,44.34002
DB0-m3_o152_o156_f0_fsc.sym.77_repeat,17.07124
DB0-m29_o82_o44_f0_pts.sym.22_repeat,22.34212
DB6-cuf_7012_repeat,37.37399
DB1-Cu2O8N2-ADC_A-DPAC_A_No1892_repeat,65.2962
DB1-Cu2O8N2-irmof20_A-irmof7_A_No298_repeat,19.15435
DB0-m29_o81_o111_f0_pts.sym.3_repeat,26.08237
DB0-m2_o13_o26_f0_pcu.sym.30_repeat,31.69202
DB0-m29_o90_o55_f0_pts.sym.25_repeat,30.86208
DB0-m2_o24_o27_f0_nbo.sym.132_repeat,44.91674
DB0-m29_o90_o109_f0_pts.sym.26_repeat,33.07899
DB0-m2_o11_o24_f0_nbo.sym.140_repeat,48.49742
DB0-m2_o14_o25_f0_nbo.sym.37_repeat,48.28414
DB0-m3_o6_o23_f0_pcu.sym.69_repeat,38.62827
DB5-hypotheticalMOF_5041350_0_0_1_8_7_5_repeat,8.759769
DB0-m3_o510_o6_f0_fsc.sym.47_repeat,16.37338
DB0-m3_o470_o159_f0_fsc.sym.6_repeat,14.94502
DB0-m3_o150_o22_f0_fsc.sym.41_repeat,10.73023
DB5-hypotheticalMOF_5041261_0_0_1_8_17_4_repeat,17.11228
DB0-m3_o6_o14_f0_nbo.sym.37_repeat,94.79684
DB1-Zn2O8N2-irmof14_A-irmof7_A_No113_repeat,16.92816
DB1-Zn2O8N2-DPAC_A-irmof14_A_No703_repeat,42.47568
DB0-m3_o4_o27_f0_nbo.sym.2_repeat,69.78985
DB0-m29_o90_o93_f0_pts.sym.144_repeat,27.54074
DB0-m29_o93_o1510_f0_pts.sym.27_repeat,39.09371
DB1-Cu2N8-DPAC_B-irmof7_B_No5_repeat,21.99246
DB0-m29_o88_o110_f0_pts.sym.5_repeat,24.00852
DB6-cuf_6503_repeat,36.94221
DB0-m3_o15_o17_f0_pcu.sym.45_repeat,6.177914
DB0-m3_o22_o24_f0_nbo.sym.27_repeat,24.39561
DB0-m3_o7_o27_f0_pcu.sym.19_repeat,57.85905
DB0-m2_o15_umg_repeat,43.34412
DB0-m2_o7_o14_f0_nbo.sym.51_repeat,54.79764
DB0-m29_o96_o44_f0_pts.sym.98_repeat,30.7782
DB0-m3_o49_o23_f0_fsc.sym.9_repeat,17.05966
DB5-hypotheticalMOF_5048520_1_0_1_19_20_2_repeat,42.37117
DB0-m2_o6_o11_f0_pcu.sym.3_repeat,53.64168
DB13-lvt-Syn028504_repeat,18.8868
DB1-Cu2N8-ADC_B-DPAC_B_No578_repeat,30.74115
DB0-m3_o32_o32_pto.sym.95_repeat,73.3372
DB0-m3_o1_o23_f0_nbo.sym.14_repeat,51.20165
DB0-m29_o80_o150_f0_pts.sym.102_repeat,21.66018
DB0-m3_o9_o16_f0_pcu.sym.1_repeat,14.72981
DB0-m3_o14_qtz_repeat,27.26401
DB0-m2_o14_noq_repeat,36.12215
DB0-m29_o90_o550_f0_pts.sym.63_repeat,30.78157
DB0-m3_o25_o150_f0_fsc.sym.27_repeat,26.76058
DB0-m2_o15_o21_f0_pcu.sym.30_repeat,11.55069
DB0-m29_o99_o1470_f0_pts.sym.142_repeat,26.3566
DB1-Al2O6-AZO_B-DPAC_B_No78_repeat,32.27692
DB0-m2_o13_o25_f0_pcu.sym.15_repeat,24.3288
DB0-m29_o99_o172_f0_pts.sym.125_repeat,53.86204
DB0-m29_o90_o43_f0_pts.sym.85_repeat,22.85346
DB0-m2_o18_o24_f0_pcu.sym.12_repeat,12.4808
DB0-m3_o6_o6_f0_pcu.sym.29_repeat,39.52024
DB0-m2_o20_o27_f0_nbo.sym.62_repeat,89.15821
DB0-m3_o112_o25_f0_fsc.sym.70_repeat,14.31214
DB0-m15_o8_o49_f0_fsc_repeat,27.38569
DB0-m3_o7_o15_f0_pcu.sym.15_repeat,46.09052
DB0-m3_o7_o12_f0_pcu.sym.50_repeat,29.88066
DB0-m29_o91_o101_f0_pts.sym.15_repeat,31.21385
DB1-Cu2O8-ADC_A-irmof20_A_No242_repeat,34.26719
DB0-m3_o22_o25_f0_pcu.sym.40_repeat,17.82882
DB1-Cu2O8N2-BDC_A-irmof7_A_No153_repeat,11.68622
DB5-hypotheticalMOF_36667_0_0_2_16_24_11_repeat,45.84183
DB0-m2_o13_o27_f0_pcu.sym.92_repeat,17.4004
DB0-m3_o44_o156_f0_fsc.sym.16_repeat,20.50869
DB0-m3_o17_o1490_f0_fsc.sym.36_repeat,16.21759
DB1-Cu2O8N2-DPAC_A-irmof6_A_No656_repeat,32.20232
DB0-m2_o1_o17_f0_nbo.sym.6_repeat,33.92458
DB0-m3_o15_o28_f0_pcu.sym.30_repeat,23.38128
DB0-m2_o2_o22_f0_nbo.sym.120_repeat,64.03979
DB0-m3_o34_o34_f0_pts.sym.82_repeat,64.5574
DB0-m3_o3_o26_f0_pcu.sym.15_repeat,42.97012
DB0-m3_o113_o22_f0_fsc.sym.16_repeat,6.287863
DB0-m2_o6_o18_f0_pcu.sym.107_repeat,53.31886
DB0-m29_o97_o150_f0_pts.sym.38_repeat,25.60926
DB0-m3_o150_o159_f0_fsc.sym.21_repeat,28.3261
DB0-m3_o4_o23_f0_nbo.sym.81_repeat,53.18186
DB0-m3_o420_o13_f0_fsc.sym.12_repeat,13.22132
DB0-m2_o6_o22_f0_nbo.sym.8_repeat,66.76469
DB0-m2_o6_o7_f0_nbo.sym.29_repeat,62.97475
DB0-m3_o18_o45_f0_fsc.sym.6_repeat,18.823
DB0-m29_o90_o500_f0_pts.sym.70_repeat,20.34049
DB0-m2_o3_o9_f0_pcu.sym.3_repeat,20.88387
DB5-hypotheticalMOF_5076347_2_1_2_27_25_0_repeat,36.6655
DB5-hypotheticalMOF_5078358_2_0_2_27_23_5_repeat,47.46495
DB0-m3_o24_o153_f0_fsc.sym.27_repeat,12.05398
DB0-m3_o11_o27_f0_nbo.sym.3_repeat,86.16272
DB0-m3_o113_o22_f0_fsc.sym.17_repeat,6.198981
DB6-cuf_7773_repeat,24.92927
DB0-m29_o80_o172_f0_pts.sym.89_repeat,33.27773
DB1-Cu2O8N2-irmof10_A-irmof14_A_No103_repeat,43.26934
DB1-Cu2O8-ADC_A-DPAC_A_No509_repeat,50.24985
DB0-m2_o2_o13_f0_pcu.sym.43_repeat,30.54446
DB0-m29_o88_o44_f0_pts.sym.97_repeat,23.52474
DB0-m2_o11_o17_f0_nbo.sym.85_repeat,57.80926
DB0-m29_o90_o43_f0_pts.sym.68_repeat,26.46253
DB0-m3_o146_o158_f0_fsc.sym.69_repeat,9.739278
DB0-m3_o4_o23_f0_nbo.sym.86_repeat,46.99279
DB0-m3_o3_o21_f0_pcu.sym.88_repeat,60.93963
DB0-m3_o520_o156_f0_fsc.sym.5_repeat,20.81617
DB0-m3_o12_o28_f0_pcu.sym.62_repeat,15.12434
DB0-m2_o14_o28_f0_pcu.sym.22_repeat,20.53675
DB0-m3_o25_o26_f0_pcu.sym.110_repeat,40.20948
DB5-hypotheticalMOF_17679_0_0_1_21_9_4_repeat,43.99998
DB0-m3_o6_o20_f0_nbo.sym.146_repeat,49.91045
DB0-m9_o6_o13_f0_sra.sym.97_repeat,23.89678
DB0-m9_o13_o25_f0_sra.sym.72_repeat,15.49721
DB13-acs-Syn022248_repeat,21.46854
DB0-m2_o12_thj_repeat,56.18302
DB0-m3_o25_o150_f0_fsc.sym.59_repeat,19.97278
DB1-Cu2O8N2-DPAC_A-irmof20_A_No230_repeat,56.5715
DB0-m3_o15_o22_f0_nbo.sym.79_repeat,26.22979
DB0-m3_o160_o1480_f0_fsc.sym.38_repeat,10.78922
DB0-m2_o1_o17_f0_pcu.sym.47_repeat,11.34683
DB0-m2_o13_o16_f0_pcu.sym.105_repeat,27.99934
DB5-hypotheticalMOF_5076313_1_1_2_27_21_6_repeat,25.77457
DB0-m3_o152_o6_f0_fsc.sym.22_repeat,23.2079
DB1-Zn2O8N2-DPAC_A-irmof20_A_No216_repeat,54.78018
DB0-m3_o11_o19_f0_pcu.sym.78_repeat,28.23184
DB0-m3_o21_o45_f0_fsc_repeat,16.78999
DB0-m2_o9_o17_f0_nbo.sym.20_repeat,29.47832
DB0-m3_o1_o51_f0_fsc.sym.19_repeat,11.62325
DB0-m3_o4_o28_f0_nbo.sym.99_repeat,65.93304
DB0-m3_o22_o151_f0_fsc.sym.10_repeat,12.77614
DB1-Zn2O8N2-BDC_A-irmof8_A_No349_repeat,24.49205
DB0-m2_o13_o17_f0_pcu.sym.97_repeat,28.02595
DB0-m2_o12_o26_f0_pcu.sym.38_repeat,27.1346
DB1-Cu2O8-ADC_A-AZO_A_No786_repeat,38.29762
DB0-m29_o99_o87_f0_pts.sym.74_repeat,13.28158
DB0-m3_o10_o17_f0_pcu.sym.7_repeat,7.370873
DB0-m3_o24_o84_f0_fsc.sym.14_repeat,5.699958
DB0-m2_o6_o7_f0_pcu.sym.18_repeat,44.83042
DB0-m29_o88_o51_f0_pts.sym.36_repeat,32.51156
DB0-m2_o35_o35_f0_pts.sym.59_repeat,38.46156
DB1-Al2O6-DPAC_B-irmof6_B_No2_repeat,23.248
DB0-m2_o12_o17_f0_pcu.sym.48_repeat,14.82262
DB0-m3_o18_o150_f0_fsc.sym.36_repeat,17.07513
DB0-m3_o23_o29_f0_pcu.sym.7_repeat,52.57685
DB0-m29_o88_o510_f0_pts.sym.2_repeat,36.14204
DB0-m3_o23_o27_f0_pcu.sym.89_repeat,56.90503
DB0-m3_o15_o23_f0_nbo.sym.26_repeat,27.18627
DB6-cuf_6636_repeat,21.2515
DB6-pMOF_125_repeat,30.18876
DB0-m29_o97_o143_f0_pts.sym.3_repeat,29.81926
DB0-m2_o14_o28_f0_pcu.sym.72_repeat,21.16722
DB0-m3_o17_o146_f0_fsc.sym.64_repeat,23.78344
DB0-m3_o16_o520_f0_fsc.sym.33_repeat,16.18092
DB5-hypotheticalMOF_6509_2_0_0_10_10_0_repeat,41.62605
DB0-m3_o3_o13_f0_pcu.sym.88_repeat,47.51321
DB0-m2_o24_o24_f0_nbo.sym.55_repeat,32.64807
DB0-m9_o13_o23_f0_sra.sym.35_repeat,21.47705
DB0-m3_o24_o28_f0_pcu.sym.83_repeat,25.98424
DB0-m3_o440_o158_f0_fsc.sym.53_repeat,11.36202
DB0-m3_o1_o24_f0_nbo.sym.35_repeat,20.57727
DB0-m2_o17_o27_f0_pcu.sym.93_repeat,28.72656
DB0-m3_o12_o18_f0_pcu.sym.74_repeat,16.58737
DB0-m3_o3_o11_f0_pcu.sym.67_repeat,42.03735
DB5-hypotheticalMOF_29872_1_0_2_24_2_7_repeat,24.31126
DB13-cds-Syn030584_repeat,39.49041
DB0-m9_o8_o21_f0_sra.sym.12_repeat,33.11277
DB0-m3_o12_o26_f0_pcu.sym.74_repeat,30.81927
DB0-m29_o82_o500_f0_pts.sym.18_repeat,18.36036
DB0-m3_o19_o1500_f0_fsc.sym.3_repeat,22.28162
DB0-m3_o15_o28_f0_pcu.sym.39_repeat,14.24189
DB0-m3_o9_o25_f0_nbo.sym.85_repeat,47.92762
DB0-m3_o3_o23_f0_nbo.sym.47_repeat,41.62605
DB0-m9_o28_o28_f0_sra.sym.3_repeat,25.00533
DB0-m3_o160_o42_f0_fsc.sym.8_repeat,17.13571
DB0-m3_o6_o24_f0_pcu.sym.69_repeat,13.00033
DB0-m29_o80_o42_f0_pts.sym.103_repeat,21.84283
DB0-m3_o1_o16_f0_pcu.sym.63_repeat,21.33675
DB5-hypotheticalMOF_1663_2_0_0_21_26_5_repeat,68.18192
DB0-m2_o7_o21_f0_pcu.sym.101_repeat,53.61766
DB0-m3_o156_o150_f0_fsc.sym.95_repeat,22.20236
DB0-m3_o151_o23_f0_fsc.sym.55_repeat,30.92154
DB5-hypotheticalMOF_5006054_0_0_0_15_17_12_repeat,53.5436
DB0-m29_o97_o47_f0_pts.sym.12_repeat,23.44633
DB0-m2_o22_o25_f0_nbo.sym.62_repeat,44.21647
DB0-m2_o7_o28_f0_pcu.sym.47_repeat,76.42627
DB0-m3_o38_o40_f0_fof.sym.11_repeat,22.92947
DB0-m3_o17_o27_f0_pcu.sym.101_repeat,24.61364
DB0-m5_o1_o14_f0_bcu.sym.12_repeat,9.232913
DB0-m3_o59_o17_dme_repeat,84.67093
DB0-m3_o1_o4_f0_nbo.sym.106_repeat,29.44166
DB0-m29_o91_o44_f0_pts.sym.28_repeat,30.06842
DB0-m2_o16_o18_f0_pcu.sym.3_repeat,22.94587
DB0-m3_o520_o13_f0_fsc.sym.56_repeat,18.52314
DB0-m2_o3_o24_f0_pcu.sym.9_repeat,44.71039
DB0-m29_o91_o500_f0_pts.sym.38_repeat,18.38454
DB0-m3_o25_o1530_f0_fsc.sym.77_repeat,24.13187
DB0-m3_o17_o25_f0_pcu.sym.77_repeat,27.25421
DB0-m2_o14_o23_f0_nbo.sym.125_repeat,49.55972
DB0-m3_o1510_o14_f0_fsc.sym.38_repeat,18.74106
DB0-m9_o16_o25_f0_sra.sym.20_repeat,13.94583
DB0-m3_o52_o23_f0_fsc.sym.51_repeat,26.1387
DB0-m3_o15_o24_f0_nbo.sym.41_repeat,21.13783
DB0-m9_o7_o17_f0_sra.sym.15_repeat,28.03715
DB0-m3_o8_o8_f0_pcu.sym.7_repeat,38.72099
DB0-m29_o88_o430_f0_pts.sym.36_repeat,30.45096
DB0-m2_o4_o4_f0_nbo.sym.74_repeat,38.0008
DB0-m3_o79_o23_f0_fsc.sym.9_repeat,14.02913
DB0-m3_o6_o25_f0_nbo.sym.168_repeat,70.94307
DB5-hypotheticalMOF_29060_2_0_2_25_26_5_repeat,50.10965
DB0-m3_o21_o26_f0_pcu.sym.37_repeat,41.00068
DB0-m29_o89_o1490_f0_pts.sym.5_repeat,21.30483
DB0-m3_o7_o20_f0_pcu.sym.17_repeat,56.74867
DB0-m2_o14_o27_f0_pcu.sym.89_repeat,18.62506
DB0-m29_o90_o147_f0_pts.sym.37_repeat,27.56512
DB0-m3_o46_o23_f0_fsc.sym.50_repeat,13.41569
DB0-m2_o21_o28_f0_pcu.sym.39_repeat,46.14351
DB0-m2_o7_o19_f0_nbo.sym.126_repeat,69.48622
DB0-m2_o58_o12_moc_repeat,62.21888
DB0-m2_o1_o5_f0_nbo.sym.66_repeat,25.93594
DB0-m2_o38_o38_f0_fof.sym.30_repeat,19.62154
DB0-m3_o11_o13_f0_pcu.sym.3_repeat,25.84346
DB1-Zn2O8-AZO_A-irmof6_A_No5_repeat,41.3835
DB0-m3_o1_o26_f0_pcu.sym.56_repeat,24.26428
DB0-m3_o1530_o155_f0_fsc.sym.57_repeat,17.844
DB0-m2_o6_o17_f0_pcu.sym.8_repeat,29.26533
DB0-m29_o88_o110_f0_pts.sym.37_repeat,24.73448
DB0-m2_o6_o13_f0_pcu.sym.44_repeat,49.27944
DB0-m2_o17_o19_f0_pcu.sym.87_repeat,32.96928
DB5-hypotheticalMOF_6966_1_1_0_11_7_6_repeat,8.986984
DB5-hypotheticalMOF_5039067_0_0_1_15_21_12_repeat,43.30646
DB0-m3_o96_o15_f0_fsc.sym.40_repeat,11.64746
DB0-m2_o23_o27_f0_pcu.sym.131_repeat,48.94721
DB0-m29_o80_o151_f0_pts.sym.8_repeat,31.23607
DB0-m3_o26_o29_f0_pcu.sym.78_repeat,38.70941
DB0-m2_o4_o15_f0_nbo.sym.102_repeat,30.10097
DB0-m2_o22_pcl_repeat,40.46305
DB0-m29_o88_o170_f0_pts.sym.53_repeat,57.3811
DB1-Cu2O8-AZO_A-DPAC_A_No1418_repeat,40.9744
DB1-Zn4O13-irmof7_A-irmof8_A_No434_repeat,41.38456
DB0-m3_o18_o27_f0_pcu.sym.5_repeat,43.67187
DB0-m2_o4_o15_f0_nbo.sym.117_repeat,36.14152
DB6-cuf_6627_repeat,30.08259
DB0-m2_o16_o21_f0_pcu.sym.92_repeat,25.07723
DB0-m2_o8_o26_f0_pcu.sym.39_repeat,35.63295
DB0-m9_o17_o27_f0_sra.sym.95_repeat,20.12268
DB0-m3_o520_o25_f0_fsc.sym.28_repeat,29.68014
DB0-m3_o18_o21_f0_pcu.sym.5_repeat,41.80997
DB0-m3_o4_o5_f0_nbo.sym.28_repeat,44.47495
DB0-m9_o6_o17_f0_sra.sym.16_repeat,25.467
DB0-m2_o14_o14_f0_pcu.sym.48_repeat,10.08682
DB15-cdl_N29_E23_opt_repeat,81.95056
DB0-m2_o7_o8_f0_pcu.sym.28_repeat,37.88882
DB0-m9_o27_o28_f0_sra.sym.92_repeat,29.94394
DB1-Cu2N8-ADC_B-DPAC_B_No589_repeat,26.77375
DB0-m3_o8_o12_f0_pcu.sym.11_repeat,41.19644
DB0-m3_o14_o20_f0_pcu.sym.30_repeat,19.51959
DB0-m3_o93_o6_f0_fsc.sym.5_repeat,14.81499
DB0-m3_o1530_o13_f0_fsc.sym.57_repeat,9.592151
DB0-m3_o13_o1510_f0_fsc.sym.53_repeat,20.88025
DB0-m3_o6_o151_f0_fsc.sym.24_repeat,25.72497
DB0-m3_o14_o15_f0_nbo.sym.47_repeat,33.67795
DB1-Al2O6-ADC_B-BDC_B_No11_repeat,11.02045
DB0-m3_o1500_o13_f0_fsc.sym.23_repeat,15.74507
DB0-m3_o156_o510_f0_fsc.sym.46_repeat,18.76766
DB5-hypotheticalMOF_7575_2_0_0_11_1_3_repeat,23.90486
DB0-m3_o10_o12_f0_pcu.sym.22_repeat,7.135628
DB0-m5_o11_o24_f0_bcu.sym.8_repeat,10.95412
DB0-m9_o3_o25_f0_sra.sym.38_repeat,28.98446
DB0-m3_o52_o6_f0_fsc.sym.40_repeat,20.87215
DB0-m3_o160_o148_f0_fsc.sym.19_repeat,15.42462
DB0-m3_o21_o1470_f0_fsc.sym.20_repeat,15.37779
DB0-m9_o17_o20_f0_sra.sym.115_repeat,28.47218
DB6-cuf_1280_repeat,29.97146
DB0-m3_o8_o22_f0_pcu.sym.59_repeat,39.09869
DB0-m3_o151_o159_f0_fsc.sym.23_repeat,29.82248
DB0-m3_o1470_o159_f0_fsc.sym.35_repeat,10.75368
DB0-m2_o9_o23_f0_nbo.sym.113_repeat,38.02988
DB0-m2_o18_o23_f0_pcu.sym.47_repeat,32.283
DB5-hypotheticalMOF_10834_1_0_0_6_24_10_repeat,53.60702
DB0-m29_o84_o87_f0_pts.sym.55_repeat,10.27293
DB0-m3_o146_o155_f0_fsc.sym.52_repeat,28.06984
DB5-hypotheticalMOF_5016525_1_0_0_19_26_10_repeat,74.40095
DB0-m3_o1480_o13_f0_fsc.sym.22_repeat,15.47341
DB0-m2_o2_o12_f0_pcu.sym.10_repeat,38.54929
DB1-Zn2O8-AZO_A-irmof6_A_No453_repeat,25.31905
DB0-m3_o20_o47_f0_fsc.sym.14_repeat,23.81712
DB0-m3_o6_o28_f0_pcu.sym.66_repeat,57.86239
DB0-m29_o82_o52_f0_pts.sym.113_repeat,28.14643
DB0-m3_o24_o30_xbe_repeat,29.96204
DB5-hypotheticalMOF_5035843_1_1_1_18_17_7_repeat,16.89878
DB0-m2_o4_o4_f0_nbo.sym.77_repeat,37.8401
DB0-m3_o1_o16_f0_pcu.sym.66_repeat,20.67887
DB0-m29_o82_o470_f0_pts.sym.67_repeat,21.97252
DB12-REYBAA_clean_repeat,3.06132
DB0-m3_o2_o23_f0_pcu.sym.72_repeat,41.16012
DB5-hypotheticalMOF_5013134_2_1_0_20_18_5_repeat,33.6435
DB0-m9_o1_o19_f0_sra.sym.24_repeat,17.25446
DB0-m3_o6_o20_f0_nbo.sym.63_repeat,45.78856
DB1-Cu2O8-irmof12_A-irmof16_A_No9_repeat,64.56723
DB0-m2_o17_o22_f0_nbo.sym.165_repeat,50.65835
DB0-m3_o115_o23_f0_fsc.sym.24_repeat,39.37117
DB5-hypotheticalMOF_20340_1_1_1_1_25_0_repeat,12.70025
DB0-m3_o14_o19_f0_nbo.sym.24_repeat,46.05533
DB1-MIL47V-DABCO_B-DPAC_B_No1_repeat,14.87393
DB0-m3_o1500_o20_f0_fsc.sym.34_repeat,21.34987
DB0-m3_o27_crb_repeat,94.7712
DB0-m2_o3_o4_f0_pcu.sym.64_repeat,41.13777
DB13-hxg-Syn036186_repeat,34.11923
DB5-hypotheticalMOF_5070659_1_1_2_3_18_2_repeat,2.911885
DB0-m3_o420_o6_f0_fsc.sym.4_repeat,19.16855
DB0-m3_o14_o20_f0_pcu.sym.81_repeat,26.98621
DB1-MIL47V-ADC_B-irmof20_B_No346_repeat,16.88452
DB0-m3_o8_o29_f0_pcu.sym.86_repeat,53.47785
DB6-cuf_10901_repeat,21.16315
DB0-m5_o34_o34_f0_flu.sym.36_repeat,25.19191
DB0-m3_o2_o12_f0_pcu.sym.87_repeat,22.17703
DB5-hypotheticalMOF_5008813_3_1_0_15_18_5_repeat,40.80071
DB0-m9_o18_o25_f0_sra.sym.43_repeat,24.32862
DB0-m3_o39_o39_f0_fof.sym.4_repeat,17.95517
DB1-Al2O6-ADC_B-DPAC_B_No260_repeat,43.68917
DB0-m3_o1500_o13_f0_fsc.sym.6_repeat,16.75846
DB0-m2_o17_o22_f0_pcu.sym.85_repeat,21.72261
DB0-m3_o155_o109_f0_fsc.sym.4_repeat,20.95003
DB0-m3_o51_o156_f0_fsc.sym.48_repeat,12.94856
DB0-m3_o6_o25_f0_pcu.sym.33_repeat,77.98461
DB0-m3_o4_o8_f0_pcu.sym.5_repeat,26.54268
DB1-MIL47V-irmof16_B-irmof20_B_No145_repeat,13.8779
DB0-m3_o6_o18_f0_pcu.sym.16_repeat,61.53095
DB0-m29_o91_o147_f0_pts.sym.17_repeat,21.47502
DB0-m3_o15_o19_f0_nbo.sym.64_repeat,22.6736
DB0-m3_o156_o1510_f0_fsc.sym.5_repeat,26.94003
DB0-m3_o18_o151_f0_fsc.sym.29_repeat,18.22651
DB0-m3_o1_o145_f0_fsc.sym.3_repeat,13.86599
DB5-hypotheticalMOF_28637_1_0_2_21_2_6_repeat,25.41232
DB0-m2_o11_o13_f0_pcu.sym.41_repeat,15.03284
DB5-hypotheticalMOF_5002063_1_1_0_12_13_7_repeat,16.38804
DB0-m3_o1500_o21_f0_fsc.sym.95_repeat,22.31704
DB0-m3_o114_o6_f0_fsc.sym.15_repeat,13.48102
DB0-m29_o84_o54_f0_pts.sym.1_repeat,27.19211
DB0-m2_o2_o21_f0_pcu.sym.77_repeat,41.28603
DB0-m3_o8_o23_f0_pcu.sym.131_repeat,54.14276
DB0-m3_o158_o151_f0_fsc.sym.9_repeat,31.95387
DB13-nbo-Syn026020_repeat,23.61395
DB0-m2_o15_o27_f0_nbo.sym.59_repeat,36.15564
DB1-Cu2N8-ADC_B-DPAC_B_No286_repeat,30.85778
DB0-m2_o28_o28_f0_pcu.sym.35_repeat,71.71975
DB1-Cu2O8N2-AZO_A-DPAC_A_No375_repeat,32.82732
DB0-m3_o105_o23_f0_fsc.sym.53_repeat,28.16457
DB0-m29_o99_o45_f0_pts.sym.123_repeat,26.94028
DB0-m3_o21_o25_f0_pcu.sym.115_repeat,47.2582
DB0-m2_o17_o20_f0_pcu.sym.13_repeat,37.82501
DB0-m2_o8_o22_f0_pcu.sym.116_repeat,27.92907
DB0-m3_o6_o27_f0_pcu.sym.72_repeat,39.38178
DB0-m2_o12_o28_f0_pcu.sym.74_repeat,19.06865
DB0-m2_o9_o17_f0_pcu.sym.90_repeat,17.94539
DB0-m3_o16_o19_f0_pcu.sym.5_repeat,30.96707
DB1-Cu2O8N2-irmof7_A-irmof8_A_No25_repeat,12.59045
DB0-m2_o4_o15_f0_nbo.sym.8_repeat,35.20841
DB0-m29_o89_o45_f0_pts.sym.60_repeat,23.99663
DB0-m2_o14_o20_f0_nbo.sym.87_repeat,47.24154
DB0-m3_o1_o12_f0_pcu.sym.1_repeat,29.3298
DB0-m3_o43_o14_f0_fsc.sym.6_repeat,16.31303
DB0-m29_o97_o1510_f0_pts.sym.19_repeat,36.61988
DB0-m3_o36_o36_f0_pts.sym.7_repeat,18.7485
DB0-m2_o23_o141_f0_fsc_repeat,20.75411
DB0-m2_o12_o26_f0_pcu.sym.44_repeat,13.54935
DB0-m3_o4_o19_f0_nbo.sym.27_repeat,51.69625
DB0-m3_o22_o23_f0_pcu.sym.71_repeat,13.57437
DB5-hypotheticalMOF_5043220_0_0_1_20_24_8_repeat,45.7086
DB0-m3_o14_o24_f0_nbo.sym.26_repeat,34.19486
DB1-Zn4O13-BDC_A-irmof20_A_No143_repeat,42.99618
DB0-m3_o8_o16_f0_pcu.sym.139_repeat,47.10889
DB0-m29_o91_o430_f0_pts.sym.13_repeat,33.96591
DB0-m3_o22_o29_f0_nbo.sym.52_repeat,49.23204
DB0-m9_o7_o17_f0_sra.sym.72_repeat,10.94555
DB0-m3_o20_o150_f0_fsc.sym.49_repeat,19.99293
DB0-m3_o6_o25_f0_nbo.sym.16_repeat,64.91185
DB1-Cu2N8-ADC_B-BDC_B_No845_repeat,21.7343
DB0-m2_o3_o8_f0_pcu.sym.1_repeat,72.3207
DB5-hypotheticalMOF_5021048_1_0_0_23_23_14_repeat,54.59316
DB0-m3_o141_o150_f0_fsc_repeat,14.08836
DB0-m3_o6_o17_f0_pcu.sym.50_repeat,35.57409
DB0-m3_o160_o1490_f0_fsc.sym.45_repeat,15.21585
DB0-m3_o3_o11_f0_nbo.sym.19_repeat,60.67078
DB0-m3_o19_o23_f0_nbo.sym.37_repeat,56.84974
DB0-m3_o8_o11_f0_pcu.sym.72_repeat,44.1457
DB0-m3_o24_o153_f0_fsc.sym.83_repeat,10.10973
DB0-m2_o11_o15_f0_pcu.sym.2_repeat,18.12701
DB0-m2_o4_o7_f0_nbo.sym.40_repeat,62.60793
DB0-m9_o19_o23_f0_sra.sym.43_repeat,14.60814
DB0-m3_o146_o23_f0_fsc.sym.116_repeat,26.9405
DB0-m2_o4_o11_f0_nbo.sym.45_repeat,41.65971
DB0-m9_o23_o23_f0_sra.sym.27_repeat,18.77053
DB5-hypotheticalMOF_5038524_1_0_1_15_17_0_repeat,56.17731
DB0-m3_o450_o158_f0_fsc.sym.108_repeat,15.93915
DB0-m29_o97_o149_f0_pts.sym.42_repeat,22.66333
DB0-m3_o11_o19_f0_nbo_repeat,78.07469
DB0-m29_o88_o149_f0_pts.sym.1_repeat,27.65149
DB0-m3_o14_o22_f0_nbo.sym.36_repeat,37.4612
DB0-m3_o4_o11_f0_nbo.sym.44_repeat,43.30823
DB0-m5_o6_o20_f0_bcu.sym.33_repeat,22.76327
DB0-m2_o6_o7_f0_nbo.sym.18_repeat,66.71221
DB1-Zn2O8-AZO_A-irmof8_A_No414_repeat,46.26709
DB0-m3_o6_o23_f0_pcu.sym.118_repeat,22.23527
DB0-m3_o15_o25_f0_nbo.sym.27_repeat,50.62051
DB0-m29_o93_o86_f0_pts.sym.10_repeat,22.14504
DB0-m9_o13_o25_f0_sra.sym.20_repeat,21.26347
DB0-m3_o14_o113_f0_fsc_repeat,9.829245
DB0-m3_o13_o470_f0_fsc.sym.36_repeat,8.71209
DB0-m2_o8_o25_f0_pcu.sym.47_repeat,48.5281
